index,mu
1,0.05
2,0.2721410950586887
3,0.20695311717021464
4,0.24735074327921802
5,0.25440742172166153
6,0.25423132862857406
7,0.2541102336194144
8,0.25374521455579846
9,0.25064318199859514
10,0.25427544304454247
11,0.25220964275555385
12,0.24051333923622156
13,0.2387940517822532
14,0.23270977668538012
15,0.2309369089655903
16,0.22850587861027719
17,0.2277958044885424
18,0.2267373307621445
19,0.22341728668142646
20,0.22135345936944972
21,0.22037285748769203
22,0.21930085122553114
23,0.21709797767939
24,0.21576218231830566
25,0.21426781825686628
26,0.2130394093056459
27,0.21185775514389638
28,0.21107669886172542
29,0.21119765637107976
30,0.21054852427833257
31,0.20977296676934093
32,0.20936835519423524
33,0.21060294362045007
34,0.21092352659668676
35,0.2112676578579325
36,0.21139170540977104
37,0.21191978330357045
38,0.2124819723884027
39,0.2126955975439089
40,0.21338598729212974
41,0.2143672599393219
42,0.21579619618634263
43,0.21700663673379253
44,0.21835953510254963
45,0.22026756366198064
46,0.2223136000183913
47,0.22415706442901911
48,0.22563292175332764
49,0.22869889746285216
50,0.2314331389355102
51,0.23358737993500336
52,0.23620042938264976
53,0.23929795505843046
54,0.24216158498506218
55,0.24564731738573028
56,0.24931610150864403
57,0.2526840088913602
58,0.2558056303892228
59,0.25940645482076496
60,0.2636118469822028
61,0.26729752764691517
62,0.2715806372708907
63,0.27626864824230446
64,0.2810481682318563
65,0.28607235190854097
66,0.29099662515492847
67,0.29564229848591705
68,0.30110283462729315
69,0.306071914282956
70,0.3108762027474089
71,0.316278871654136
72,0.3215296695686515
73,0.3271943338763642
74,0.3320211672614424
75,0.33744474905160005
76,0.3443046656016932
77,0.3503913272295305
78,0.3574892225975024
79,0.36326077899958376
80,0.36939043781278763
81,0.3754899571982804
82,0.38159126779183666
83,0.38740212427283705
84,0.3942991904808368
85,0.40116557115724727
86,0.4077120734881603
87,0.41415456700650555
88,0.4217117548415756
89,0.4290569599815771
90,0.43617499932908144
91,0.44468229215636645
92,0.45132164490302423
93,0.45911075140897367
94,0.4658475604975926
95,0.4736460794518573
96,0.4807695427288686
97,0.48784788627179576
98,0.4954682062573884
99,0.502745155131239
100,0.5104191810913653
101,0.5177884213423177
102,0.5260769387882838
103,0.5341882909709845
104,0.5412081784236149
105,0.5493194657137163
106,0.5569985457992477
107,0.5657078827068984
108,0.5737735534400875
109,0.5820508099391156
110,0.5900649385881698
111,0.5974404593252152
112,0.6048448364158306
113,0.6121736778833882
114,0.6200601916138355
115,0.6277742311498059
116,0.636351707263575
117,0.6445855827256017
118,0.6519054947049335
119,0.6594317206127822
120,0.6672153674587205
121,0.6759369079278754
122,0.6837820739356721
123,0.6915918573415514
124,0.6998381533850064
125,0.707691795300922
126,0.7143670471186807
127,0.7226417435535976
128,0.7315660082372644
129,0.7411015770769175
130,0.7494898713519969
131,0.7578131021094587
132,0.7664050439261779
133,0.7732403286199352
134,0.7806301176738534
135,0.7881700478952137
136,0.7958361150935094
137,0.8053985063394209
138,0.8123479573413014
139,0.8201750771186058
140,0.8284983205142169
141,0.8374634957099809
142,0.845172695914989
143,0.8518139440676882
144,0.8593513889330189
145,0.8666098448667856
146,0.8744036754414409
147,0.8815145626846248
148,0.8900266090494477
149,0.8971268990815826
150,0.9044487222975446
151,0.9121316186271617
152,0.9195719903760367
153,0.926244661768871
154,0.9337204533527992
155,0.9407109014680046
156,0.9488854531396098
157,0.9556721293612052
158,0.9621151736420379
159,0.9698145445150943
160,0.9777116576261661
161,0.9855401084167714
162,0.992431834330467
163,1.000080460493814
164,1.0073257216027842
165,1.015268692961923
166,1.02184480333811
167,1.0293598209187915
168,1.0359525919720967
169,1.0425729194801208
170,1.0496552128616092
171,1.0564541343426477
172,1.063559143967272
173,1.0706561373754324
174,1.0769118471897003
175,1.0837124457413692
176,1.0910943950266965
177,1.0970303234747392
178,1.1043196522989696
179,1.1107789401217347
180,1.1178859093566165
181,1.1246569540461313
182,1.13
183,1.13
184,1.13
185,1.13
186,1.13
187,1.13
188,1.13
189,1.13
190,1.13
191,1.13
192,1.13
193,1.13
194,1.13
195,1.13
196,1.13
197,1.13
198,1.13
199,1.13
200,1.13
201,1.13
202,1.13
203,1.13
204,1.13
205,1.13
206,1.13
207,1.13
208,1.13
209,1.13
210,1.13
211,1.13
212,1.13
213,1.13
214,1.13
215,1.13
216,1.13
217,1.13
218,1.13
219,1.13
220,1.13
221,1.13
222,1.13
223,1.13
224,1.13
225,1.13
226,1.13
227,1.13
228,1.13
229,1.13
230,1.13
231,1.13
232,1.13
233,1.13
234,1.13
235,1.13
236,1.13
237,1.13
238,1.13
239,1.13
240,1.13
241,1.13
242,1.13
243,1.13
244,1.13
245,1.13
246,1.13
247,1.13
248,1.13
249,1.13
250,1.13
251,1.13
252,1.13
253,1.13
254,1.13
255,1.13
256,1.13
257,1.13
258,1.13
259,1.13
260,1.13
261,1.13
262,1.13
263,1.13
264,1.13
265,1.13
266,1.13
267,1.13
268,1.13
269,1.13
270,1.13
271,1.13
272,1.13
273,1.13
274,1.13
275,1.13
276,1.13
277,1.13
278,1.13
279,1.13
280,1.13
281,1.13
282,1.13
283,1.13
284,1.13
285,1.13
286,1.13
287,1.13
288,1.13
289,1.13
290,1.13
291,1.13
292,1.13
293,1.13
294,1.13
295,1.13
296,1.13
297,1.13
298,1.13
299,1.13
300,1.13
301,1.13
302,1.13
303,1.13
304,1.13
305,1.13
306,1.13
307,1.13
308,1.13
309,1.13
310,1.13
311,1.13
312,1.13
313,1.13
314,1.13
315,1.13
316,1.13
317,1.13
318,1.13
319,1.13
320,1.13
321,1.13
322,1.13
323,1.13
324,1.13
325,1.13
326,1.13
327,1.13
328,1.13
329,1.13
330,1.13
331,1.13
332,1.13
333,1.13
334,1.13
335,1.13
336,1.13
337,1.13
338,1.13
339,1.13
340,1.13
341,1.13
342,1.13
343,1.13
344,1.13
345,1.13
346,1.13
347,1.13
348,1.13
349,1.13
350,1.13
351,1.13
352,1.13
353,1.13
354,1.13
355,1.13
356,1.13
357,1.13
358,1.13
359,1.13
360,1.13
361,1.13
362,1.13
363,1.13
364,1.13
365,1.13
366,1.13
367,1.13
368,1.13
369,1.13
370,1.13
371,1.13
372,1.13
373,1.13
374,1.13
375,1.13
376,1.13
377,1.13
378,1.13
379,1.13
380,1.13
381,1.13
382,1.13
383,1.13
384,1.13
385,1.13
386,1.13
387,1.13
388,1.13
389,1.13
390,1.13
391,1.13
392,1.13
393,1.13
394,1.13
395,1.13
396,1.13
397,1.13
398,1.13
399,1.13
400,1.13
